,K-means Cluster,DBSCAN Cluster,Hierarchical Cluster
TCGA-D5-6930,0,-1,1
TCGA-QG-A5YX,2,-1,2
TCGA-A6-5659,1,-1,1
TCGA-RU-A8FL,3,-1,3
TCGA-AY-5543,3,-1,3
TCGA-EI-6508,0,-1,1
TCGA-AA-3713,2,-1,2
TCGA-AZ-4313,0,-1,1
TCGA-CM-6677,2,-1,2
TCGA-G5-6641,3,-1,3
TCGA-A6-A56B,1,-1,3
TCGA-F4-6806,3,-1,3
TCGA-DM-A28A,3,-1,3
TCGA-EI-6506,0,-1,1
TCGA-5M-AAT4,1,-1,0
TCGA-AA-3510,0,-1,1
TCGA-F4-6570,2,-1,2
TCGA-AG-4005,1,-1,0
TCGA-CM-6166,1,-1,0
TCGA-EF-5830,1,-1,3
TCGA-CM-6674,0,-1,1
TCGA-DM-A28F,1,-1,0
TCGA-AA-3680,3,-1,1
TCGA-AZ-4308,3,-1,0
TCGA-DC-6157,1,-1,0
TCGA-AF-2693,0,-1,1
TCGA-DY-A1DF,2,-1,2
TCGA-CM-6163,1,-1,0
TCGA-AG-3732,1,-1,3
TCGA-AG-4008,0,-1,1
TCGA-AG-3580,0,-1,1
TCGA-AG-3882,0,-1,0
TCGA-F4-6460,1,-1,0
TCGA-AA-3522,2,-1,2
TCGA-AG-4001,1,-1,0
TCGA-CA-6719,1,-1,0
TCGA-D5-6534,3,-1,3
TCGA-DM-A280,0,-1,1
TCGA-AG-3605,1,-1,1
TCGA-DC-5337,0,-1,1
TCGA-A6-6649,2,-1,2
TCGA-NH-A6GB,1,-1,0
TCGA-D5-6541,1,-1,3
TCGA-AA-A02O,2,-1,1
TCGA-AG-3582,1,-1,0
TCGA-G4-6317,3,-1,3
TCGA-CM-4747,2,-1,2
TCGA-CM-5861,2,-1,2
TCGA-A6-3809,0,-1,1
TCGA-QG-A5Z1,3,-1,3
TCGA-G4-6588,0,-1,1
TCGA-AZ-6606,3,-1,3
TCGA-G4-6307,1,-1,0
TCGA-QL-A97D,0,-1,1
