,t-SNE1,t-SNE2,K-means Cluster,DBSCAN Cluster,Hierarchical Cluster
TCGA-CM-6172,-3.724779,-7.2041745,0,-1,1
TCGA-A6-2683,-13.2102785,-17.160915,1,-1,0
TCGA-AA-3831,9.203821,-1.4691545,0,-1,1
TCGA-AA-A00Z,-31.177557,-4.4867096,2,-1,0
TCGA-AA-3664,-10.036929,5.563887,1,-1,3
TCGA-AU-6004,29.828842,0.75820816,2,-1,2
TCGA-NH-A8F8,-12.338466,12.034031,3,-1,3
TCGA-AA-3856,-27.203878,-2.8176699,1,-1,0
TCGA-A6-6782,-24.18206,-2.6881793,1,-1,0
TCGA-AA-3531,-1.7492355,13.832738,3,-1,3
TCGA-AA-3502,29.663305,4.5177226,2,-1,2
TCGA-CK-5916,15.057451,2.1659703,0,-1,1
TCGA-AA-3675,6.5716586,-11.3436775,0,-1,1
TCGA-DM-A1D6,-1.9783581,13.1693945,3,-1,3
TCGA-EI-6512,4.0701776,9.115675,3,-1,3
TCGA-CM-6678,5.6908174,-9.268457,0,-1,1
TCGA-A6-6137,-24.544939,-1.0641577,1,-1,0
TCGA-D5-6929,-26.02815,-2.5507374,1,-1,0
TCGA-DM-A1DA,35.762577,-0.9123605,2,-1,2
TCGA-AG-3881,-15.485161,-18.436737,1,-1,0
TCGA-G4-6315,-5.015528,13.755076,3,-1,3
TCGA-AA-3673,40.567375,0.046186343,2,-1,2
TCGA-AA-3956,-27.120934,-3.8483596,1,-1,0
TCGA-CK-5912,-18.654226,-7.397531,1,-1,0
TCGA-AA-3560,-10.391195,-3.0818062,3,-1,1
TCGA-AZ-5403,-18.02435,-4.506599,1,-1,0
TCGA-CK-6746,30.15082,2.366654,2,-1,2
TCGA-D5-6920,4.0801544,-15.421106,0,-1,1
TCGA-CK-5913,29.826279,1.222635,2,-1,2
TCGA-DM-A288,7.0604477,-13.461427,0,-1,1
TCGA-AA-3506,4.5743957,-9.207973,0,-1,1
TCGA-AA-A024,9.236262,-3.610623,0,-1,1
TCGA-F4-6463,-12.958967,4.615119,1,-1,3
TCGA-AG-3583,1.0584836,8.1926775,3,-1,3
TCGA-AA-3994,13.9245615,-6.0796123,0,-1,1
TCGA-G4-6309,12.793358,-1.0650859,0,-1,1
