,t-SNE1,t-SNE2,K-means Cluster,DBSCAN Cluster,Hierarchical Cluster
TCGA-DY-A1DC,-17.779129,10.575993,3,-1,3
TCGA-F5-6864,-19.775164,10.689358,3,-1,3
TCGA-AG-3608,3.9096286,12.677942,3,-1,3
TCGA-D5-5540,0.8015413,6.367722,3,-1,1
TCGA-AZ-4615,29.381332,0.6359305,2,-1,2
TCGA-5M-AATE,38.970097,5.6603303,2,-1,2
TCGA-EI-6511,-12.132515,13.801133,3,-1,3
TCGA-CK-6751,10.950862,-0.56102157,0,-1,1
TCGA-AG-3898,40.899273,6.1446185,2,-1,2
TCGA-AA-3870,-10.341639,3.0891733,1,-1,3
TCGA-AA-3488,-22.619328,-3.7734475,1,-1,0
TCGA-AA-3693,4.0311074,11.502296,3,-1,3
TCGA-DM-A28G,-12.801229,5.154162,1,-1,3
TCGA-AA-3517,-2.6880193,14.026915,3,-1,3
TCGA-AD-6888,-23.964834,9.159841,3,-1,3
TCGA-A6-A5ZU,-20.68223,-10.483189,1,-1,0
TCGA-AA-3950,18.766094,-1.6293931,0,-1,1
TCGA-AU-3779,3.0593932,-3.81548,0,-1,3
TCGA-DM-A28C,7.5919323,0.20381992,0,-1,1
TCGA-F5-6863,-17.432554,-8.527124,1,-1,0
TCGA-AA-3521,37.319363,5.577836,2,-1,2
TCGA-AZ-4616,37.977737,0.886728,2,-1,2
TCGA-AA-A00E,13.075623,-0.06547064,0,-1,1
TCGA-DM-A28K,29.008978,3.8624039,2,-1,2
TCGA-AM-5820,-4.689427,4.1430874,0,-1,1
TCGA-CM-6169,-16.08124,10.907219,3,-1,3
TCGA-AH-6644,-20.660059,-9.710618,1,-1,0
TCGA-AA-3851,-25.62466,-6.0875273,1,-1,0
TCGA-F5-6812,-1.4793053,-14.743278,0,-1,1
TCGA-CK-6747,10.326341,-1.3521516,0,-1,1
TCGA-AA-3655,9.048809,-0.38462448,0,-1,1
TCGA-CM-6168,29.045332,10.250168,3,-1,2
TCGA-G4-6628,17.233387,3.133754,0,-1,1
TCGA-AA-3841,-14.252996,-19.741796,3,-1,0
TCGA-AY-A8YK,-5.345937,-9.182872,0,-1,1
TCGA-AA-3525,14.174527,-2.1607056,0,-1,1
TCGA-EI-6917,16.799162,3.6227646,0,-1,1
TCGA-D5-6537,33.947624,6.636106,2,-1,2
TCGA-AA-A00J,10.699406,2.5827982,0,-1,1
TCGA-NH-A50V,-4.419708,11.476613,3,-1,3
TCGA-F4-6805,-11.964124,1.1126856,1,-1,3
TCGA-AF-5654,5.8638015,-12.96328,0,-1,1
TCGA-AG-3731,-8.050014,-4.8522844,2,-1,2
TCGA-A6-5657,-12.702375,3.9674332,1,-1,3
TCGA-AA-3681,-9.444983,10.320807,3,-1,3
TCGA-AA-3695,35.74256,4.825544,2,-1,1
TCGA-AA-3526,31.555428,4.8594337,2,-1,2
TCGA-AG-3726,-13.694542,-17.743298,1,-1,0
TCGA-G4-6304,30.77582,3.2948065,2,-1,2
TCGA-AF-A56L,-16.747623,13.580233,3,-1,3
TCGA-AF-A56N,2.6636748,13.001666,3,-1,3
TCGA-CM-4752,-27.614819,-2.5944977,1,-1,0
TCGA-AH-6544,38.860287,1.7713815,2,-1,2
TCGA-AG-3883,-16.003511,-18.905367,3,-1,0
TCGA-A6-5667,-20.241962,10.421697,3,-1,3
TCGA-AY-4071,0.8156957,-16.585903,0,-1,1
TCGA-AA-A029,34.080437,1.3136758,2,-1,2
TCGA-AM-5821,20.520952,-0.22884691,2,-1,1
TCGA-CM-5862,-15.876611,-3.8448143,1,-1,1
TCGA-AF-2691,-18.005192,4.677222,1,-1,3
TCGA-AA-3666,-10.835748,-9.792176,0,-1,1
TCGA-AG-3591,-16.329922,-3.2608764,1,-1,1
TCGA-AA-3555,10.694157,2.2908056,0,-1,1
TCGA-AZ-4614,-15.677493,4.0246973,3,-1,3
TCGA-DM-A1D4,0.34839037,9.941216,3,-1,3
TCGA-A6-2681,-17.95156,-11.118603,1,-1,0
TCGA-AA-3543,-9.196715,3.673263,1,-1,1
TCGA-DM-A0XF,-15.225461,13.2024145,3,-1,3
TCGA-A6-5665,15.255762,-2.2844203,0,-1,1
TCGA-DM-A285,-22.590858,-0.8778686,1,-1,0
TCGA-AA-A01T,-11.205342,-15.167957,1,-1,0
TCGA-DM-A1HB,13.521951,-3.306429,0,-1,1
TCGA-A6-2677,-0.5611044,-7.271662,0,-1,3
TCGA-AA-A01R,19.44774,1.9954011,0,-1,1
TCGA-AA-3685,-14.412302,-4.7644396,1,-1,1
TCGA-AA-3520,-14.098504,-7.064282,1,-1,1
TCGA-G4-6303,-23.463682,2.628672,1,-1,0
TCGA-CA-6718,18.359507,3.6103745,0,-1,1
TCGA-AD-6901,-17.874865,-9.501043,1,-1,0
TCGA-D5-5541,-20.287384,10.337026,3,-1,3
TCGA-A6-2685,1.5520508,1.2566873,2,-1,3
TCGA-AG-3742,-13.621753,9.631695,3,-1,3
TCGA-AA-3552,-25.971304,-8.315736,1,-1,0
TCGA-CA-5796,9.422983,-3.8984044,0,-1,1
