K-means Cluster,mutation_TTN,mutation_TP53,mutation_KRAS,mutation_APC,mutation_MUC16,mutation_SYNE1,mutation_PIK3CA,mutation_FAT4,mutation_OBSCN,mutation_RYR2,mutation_ZFHX4,mutation_LRP1B,mutation_CSMD1,mutation_FLG,mutation_FAT3,mutation_DNAH5,mutation_CSMD3,mutation_RYR1,mutation_USH2A,mutation_SOX11,mutation_NEB,mutation_HYDIN,mutation_RYR3,mutation_ABCA13,mutation_DNAH11,mutation_PCLO,mutation_LRP2,mutation_DMD,mutation_SDK1,mutation_FBXW7
0,0.6666666666666666,0.3275862068965517,0.45977011494252873,0.603448275862069,0.46551724137931033,0.3735632183908046,0.3793103448275862,0.3793103448275862,0.3390804597701149,0.27011494252873564,0.3218390804597701,0.27011494252873564,0.3045977011494253,0.27586206896551724,0.27011494252873564,0.22413793103448276,0.25287356321839083,0.28735632183908044,0.27586206896551724,0.25287356321839083,0.27586206896551724,0.23563218390804597,0.23563218390804597,0.22988505747126436,0.27011494252873564,0.2471264367816092,0.2413793103448276,0.20689655172413793,0.21839080459770116,0.27586206896551724
1,0.45161290322580644,0.7225806451612903,0.2903225806451613,0.6709677419354839,0.18064516129032257,0.2645161290322581,0.14838709677419354,0.15483870967741936,0.15483870967741936,0.13548387096774195,0.12258064516129032,0.16774193548387098,0.10967741935483871,0.12903225806451613,0.11612903225806452,0.12903225806451613,0.12903225806451613,0.10967741935483871,0.09032258064516129,0.08387096774193549,0.09032258064516129,0.13548387096774195,0.11612903225806452,0.11612903225806452,0.0967741935483871,0.04516129032258064,0.07741935483870968,0.10967741935483871,0.13548387096774195,0.0967741935483871
2,0.5208333333333334,0.4791666666666667,0.4166666666666667,0.6770833333333334,0.28125,0.3020833333333333,0.3333333333333333,0.23958333333333334,0.2916666666666667,0.23958333333333334,0.28125,0.22916666666666666,0.25,0.19791666666666666,0.25,0.22916666666666666,0.22916666666666666,0.20833333333333334,0.16666666666666666,0.17708333333333334,0.14583333333333334,0.1875,0.20833333333333334,0.17708333333333334,0.125,0.23958333333333334,0.22916666666666666,0.20833333333333334,0.16666666666666666,0.16666666666666666
3,0.423728813559322,0.652542372881356,0.3389830508474576,0.711864406779661,0.2033898305084746,0.19491525423728814,0.13559322033898305,0.15254237288135594,0.15254237288135594,0.1864406779661017,0.09322033898305085,0.11016949152542373,0.11016949152542373,0.13559322033898305,0.11016949152542373,0.13559322033898305,0.0847457627118644,0.07627118644067797,0.13559322033898305,0.1694915254237288,0.1440677966101695,0.1016949152542373,0.1016949152542373,0.11864406779661017,0.1271186440677966,0.11864406779661017,0.09322033898305085,0.11016949152542373,0.0847457627118644,0.0423728813559322
