Cluster 1,Cluster 2,p-value,Test Statistic
0,1,0.35706949478771144,0.8481737291946054
0,2,0.52647199347886,0.4011964749507363
0,3,0.5512914805344313,0.3550086081611951
1,2,0.15453418243394712,2.026913345406331
1,3,0.9389695192085936,0.005862215381045491
2,3,0.22774894815734095,1.4548648457172024
